date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:28	24068/24068	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/photo_8.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/photo_8.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:28	40797/40797	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_1.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_1.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:28	48487/48487	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_2.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_2.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:28	35441/35441	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/sea_tour_img_3.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/sea_tour_img_3.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:28	37512/37512	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_3.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/offers_slide_3.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	17100/17100	URF---	200	untouched ('OK%20(cached)')	image/png		http://demo.nrgthemes.com/projects/travel/img/home_1/map_1.png	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/map_1.png	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	3141/3141	URF---	200	untouched ('OK%20(cached)')	image/png		http://demo.nrgthemes.com/projects/travel/img/flag_icon_aqua.png	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/flag_icon_aqua.png	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	13561/13561	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_2.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_2.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	14768/14768	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_4.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_4.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	19436/19436	URF---	200	untouched ('OK%20(cached)')	image/png		http://demo.nrgthemes.com/projects/travel/img/home_1/map_2.png	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/map_2.png	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	13588/13588	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_6.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_6.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	16748/16748	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_7.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_7.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
21:47:29	19358/19358	URF---	200	untouched ('OK%20(cached)')	image/jpeg		http://demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_8.jpg	C:/Sitios/Travel/demo.nrgthemes.com/projects/travel/img/home_1/popular_travel_img_8.jpg	(from http://demo.nrgthemes.com/projects/travel/index.html)
